rank,lead_score,segment,username,platform,followers,brands,source,email,profile,bio
12,96.5,🤝 Competitor Affiliate,dapt_official,X,5539,packdraw,x-mention,,https://x.com/dapt_official,"Over $10,000 in monthly rewards! Code Dapt on Gamba, Packdraw, Skinrave, CSBattle 🎰 Live daily 9pm PST🙏  https://t.co/N7DiGwblLe https://t.c"
13,92.5,🤝 Competitor Affiliate,xIamTheReaper,X,4473,packdraw,x-mention,,https://x.com/xIamTheReaper,"Meme trader. Rug dodger. Chart gremlin. Riding the waves with humor, patience, and a dash of doom. Partner: @Rugsfun @EdgeTrade @Spumpio"
14,92.5,🤝 Competitor Affiliate,RealStellbets,X,4453,packdraw,x-mention,,https://x.com/RealStellbets,"Father, Carpenter, Affiliate program creator, and @yeet partner. Sign up here https://t.co/qSFNE2mytm"
15,92.5,🤝 Competitor Affiliate,DougRewards,X,3770,packdraw,x-mention,,https://x.com/DougRewards,"💎$5M+ given away 🪐CODE ""DOUG"" 💵$30000 Weekly Leaderboard: https://t.co/RDZaV9NPoI  🎲100% Affiliate Money Back Run by Team Doug - @DougGamble"
16,92.5,🤝 Competitor Affiliate,Hayzed_sol,X,3491,packdraw,x-mention,,https://x.com/Hayzed_sol,KOL Manager | Community Lead | Partner @nexchain_ai
17,92.5,🤝 Competitor Affiliate,DustinTFP,X,3456,packdraw,x-mention,Dustin@DustinTFP.com,https://x.com/DustinTFP,"Streamer🍁 @Shufflecom @Packdraw @CSGOWincom https://t.co/UbkWg3vvlH 🚨 Code ""DustinTFP"" Rewards ➡️➡️ https://t.co/qFTFmQe9hX  📩 Dustin@Dustin"
18,92.5,🤝 Competitor Affiliate,morgansol34,X,2732,packdraw,x-mention,,https://x.com/morgansol34,"God's time// web3 enthusiasts//DM for ads and promo, //raider// https://t.co/Un4c2feS9z"
19,92.5,🤝 Competitor Affiliate,hanssel780,X,2043,packdraw,x-mention,,https://x.com/hanssel780,"Passionate about life.  NFTs, Crypto promoter. Technology scholar.  Full Degen!"
20,92.5,🤝 Competitor Affiliate,FruitsaladYT,X,2017,packdraw,x-mention,,https://x.com/FruitsaladYT,CSGO GAMBLING DAILY! https://t.co/fqzFMoZW1f CODE: https://t.co/N8eAv3A6DK   LEADERBOARD💸: https://t.co/eB2nIKxhG1
21,92.5,🤝 Competitor Affiliate,brandogamba,X,2016,packdraw,x-mention,,https://x.com/brandogamba,"I gamble Use code ""BRANDO""   Join my Discord! -  https://t.co/heeES0YpLi Follow me on kick! - https://t.co/2XrHPkP1Pb"
22,92.5,🤝 Competitor Affiliate,shinhs05,X,1994,packdraw,x-mention,,https://x.com/shinhs05,Web3 Marketer l Social Media Promoter 📸  DM for business and promotions
23,92.5,🤝 Competitor Affiliate,vexobets,X,1807,packdraw,x-mention,,https://x.com/vexobets,"Gambling adventures with Vexo. Leaderboards and Rewards https://t.co/T6Y4Z2Xc6m Use code ""VEXO"" everywhere! Join the vexo society https://t."
24,92.5,🤝 Competitor Affiliate,DustintfpVIP,X,1452,packdraw,x-mention,,https://x.com/DustintfpVIP,"CODE ""DUSTINTFP""  $5,000 BI-WEEKLY LB ON SHUFFLE + $1k Wager Raffles  $7,500 Bi-Weekly LB ON PACKDRAW +600 Wager Raffles  5,000c Bi-Weekly L"
25,92.5,🤝 Competitor Affiliate,Ceroy18,X,906,packdraw,x-mention,,https://x.com/Ceroy18,"Degen gambler, School of Bots Principal, Twitch affiliate, Warzone player | All of my links here https://t.co/sIj0Q0G2Oc use code bcdegens o"
26,92.5,🤝 Competitor Affiliate,ikeegz_,X,855,packdraw,x-mention,,https://x.com/ikeegz_,"Twitch Streamer, CS2 Enjoyer and Skin lover! Proud Partner with Xplay and Skinbaron! Twitch/ikeegz_"
27,92.5,🤝 Competitor Affiliate,luci4erG,X,552,packdraw,x-mention,,https://x.com/luci4erG,🍡 23- Glitch in the System. 🍢 Love and Peace say no war 📂 love letter from kathmandu trying my luck in giveaways 💮
28,92.5,🤝 Competitor Affiliate,yossi_eth,X,458,packdraw,x-mention,,https://x.com/yossi_eth,"web3 explorer 🌐 | crypto vibes, gems & giveaway luck☕📈 CSGO | Gamer I login almost everyday. Ask me anything. Cashing out all possible winni"
29,92.5,🤝 Competitor Affiliate,himyis_,X,442,packdraw,x-mention,,https://x.com/himyis_,Code SOAKED promoter for @godimsoaked   https://t.co/7mLf4TZj2h  Founder @triedtestedlabs
30,92.5,🤝 Competitor Affiliate,artemiscityx,X,368,packdraw,x-mention,,https://x.com/artemiscityx,🌷 To love oneself is the beginning of a lifelong romance.  Make sure you love you.   🪻 Jeremiah 29:11  🎰 stake: decoderj  😎
31,92.5,🤝 Competitor Affiliate,AsTonishRx,X,310,packdraw,x-mention,,https://x.com/AsTonishRx,• Filter inbox noise for Web3 founders • Scout high-value B2B partners & investors • Lead gen & outreach architecture 📊 Execution-ready. DMs
32,92.5,🤝 Competitor Affiliate,evan_papa18,X,296,packdraw,x-mention,,https://x.com/evan_papa18,using 2 phone for please dont reroll if Im win giveaway.. thanks. God Bless @slotcoffee @slotcartel @bitfortune id : evanizer  https://t.co/
33,92.5,🤝 Competitor Affiliate,dibwkan,X,235,packdraw,x-mention,,https://x.com/dibwkan,𝙄 𝙣𝙚𝙚𝙙 𝙖 𝙥𝙡𝙖𝙘𝙚 𝙩𝙤 𝙨𝙝𝙖𝙧𝙚 𝙤𝙣 𝙝𝙤𝙬 𝙢𝙮 𝙙𝙖𝙮 𝙬𝙚𝙣𝙩.// 27 Years young M 🥸 // currently grinding giveaways
34,92.5,🤝 Competitor Affiliate,Dvdwlso,X,184,packdraw,x-mention,,https://x.com/Dvdwlso,Giveaway Hunter 🎁 Always on the Hunt for Freebies! 🕵️‍♂️ Expert in Scoring Prizes 🏆 #FreebiesFinder 🚀 Let's Win Some Goodies! 🎉
35,92.5,🤝 Competitor Affiliate,LottoPicks333,X,155,packdraw,x-mention,,https://x.com/LottoPicks333,🎰🍖🏴‍☠️ Full time degen • Part time grillmaster 🪪Vno007 on @stakeusa code “StakeNbake” 👾Discord |🧑‍🎤KICK 🆔: vinostaygrippy 👨🏾‍🦼💨💨💨
36,92.5,🤝 Competitor Affiliate,safcblackcat13,X,149,packdraw,x-mention,,https://x.com/safcblackcat13,"Just a Regular guy  CS2 player by night, professional giveaway hunter by day  sunderland and ac milan fan :D"
37,92.5,🤝 Competitor Affiliate,Danydubic,X,133,packdraw,x-mention,,https://x.com/Danydubic,"A crypto trader,meme lord, Forex tutor,degen legend and Giveaway enthusiast."
38,92.5,🤝 Competitor Affiliate,es_suraj01,X,102,packdraw,x-mention,,https://x.com/es_suraj01,"stream everyday on kick- https://t.co/ZUdEMArAYL use code ""heycoob"" on @degencity join DC for more information  https://t.co/Gf5OZlzeeg"
39,92.5,🤝 Competitor Affiliate,4x_solo,X,60,packdraw,x-mention,,https://x.com/4x_solo,Former farmer. Current full-time giveaway hunter. From planting seeds in the field to planting comments on giveaway posts. 🤣🐀🎁🌾
40,92.5,🤝 Competitor Affiliate,efh_j4uli,X,51,packdraw,x-mention,,https://x.com/efh_j4uli,Animal technologist | scale rich partnerships
41,92.5,🤝 Competitor Affiliate,MutaIntern,X,31,packdraw,x-mention,,https://x.com/MutaIntern,"💜ྀི Instant Rakeback 🔮 Upto 25% Lossback 🍯 Wager Bonuses 🏆 $15,000 Leaderboard 🎫 Exclusive Giveaways ⚔️ Challenges"
42,92.5,🤝 Competitor Affiliate,Lushiesty814,X,10,packdraw,x-mention,,https://x.com/Lushiesty814,Use code LUPACK @Packdraw.com
43,84.5,🤝 Competitor Affiliate,MainGame6,X,22538,packdraw,x-mention,maingamehere@gmail.Com,https://x.com/MainGame6,"Hello ""La Li Lu Le Lo"" stay a while, and listen because I've been thinking!• USE CODE: MAINGAME • maingamehere@gmail.Com"
44,84.5,🤝 Competitor Affiliate,yungreal69,X,13590,packdraw,x-mention,,https://x.com/yungreal69,"LIVE EVERYDAY - https://t.co/w5YKfCiGFa  🍊CODE YUNGREAL 🍊 🍊@chancer_bet @skinravegg🍊| $10,000 IN LB'S"
45,81.5,🎯 Competitor Promoter,Smackdowness,X,35255,packdraw,x-mention,smackdowness@yahoo.com,https://x.com/Smackdowness,"Business inquiries: smackdowness@yahoo.com $10,500 Monthly leaderboards on shuffle https://t.co/vDUsISj9us"
46,81.5,🎯 Competitor Promoter,patttdotcom,X,22486,packdraw,x-mention,,https://x.com/patttdotcom,Web3 Gurl | OG: @luvriego | blessed & most grateful girl in the world ✨ stake: luvriego | gamdom: luvriegoo thrill: patttdotcom | shuffle: p
47,81.5,🎯 Competitor Promoter,ZiGmReal,X,13300,packdraw,x-mention,,https://x.com/ZiGmReal,just regular dude YT https://t.co/yNDiKG6dFf | Kick https://t.co/rCAobhRfjd
48,81.5,🎯 Competitor Promoter,BasepokerHQ,X,11765,packdraw,x-mention,,https://x.com/BasepokerHQ,"Join the best online crypto poker platform with real rewards:  Daily Freerolls,  150% deposit bonus up to $2000, and up to 60% rakeback. 🔥"
49,81.5,🎯 Competitor Promoter,journeyofchandu,X,9670,packdraw,x-mention,,https://x.com/journeyofchandu,» Never give up « is my motto. I love anime and Web3. you can call me Chandu. let's make the world a better place to live ;⁠) GA account » @
50,81.5,🎯 Competitor Promoter,littleshoes08,X,8047,packdraw,x-mention,,https://x.com/littleshoes08,Fibromyalgia/Arthritis Warrior:  Passions: Packers & Ucla Bruins 🏈 | Art | Anime | billiards 🎱 | CA $littleshoes08
51,81.5,🎯 Competitor Promoter,ramyavellanki_,X,6552,packdraw,x-mention,,https://x.com/ramyavellanki_,"Always Manifest Big🔮 Universe observes the audacity not the logic!! #ConservationalBiologist🌱 #Biotech👩‍🔬🧪 Loves #Crypto 💰, coffee☕️& music "
52,81.5,🎯 Competitor Promoter,defynrae,X,6355,packdraw,x-mention,,https://x.com/defynrae,"more to grow, more to be ˚₊‧꒰ა ☆ ໒꒱ web3 girlie ⋆ — @easyluckyz reborn ˖᯽ ݁˖"
53,81.5,🎯 Competitor Promoter,jegax_,X,6352,packdraw,x-mention,,https://x.com/jegax_,Web3 Enthusiast || Nft lover || Digital artist || Songwriter 🎶  https://t.co/K5zeCRvaS0
54,81.5,🎯 Competitor Promoter,itsjuliusolson,X,5782,packdraw,x-mention,,https://x.com/itsjuliusolson,Crypto/DeFi —At Home Farmer—Degen family man- kick streamer Autistic Intelligence CRO @acebet degen- @riskiiit mascot  Autistic Intelligence
55,80.5,🤝 Competitor Affiliate,StrawHat068,X,1444,packdraw,x-mention,,https://x.com/StrawHat068,🎰 Bitfortune 🔑 Code: https://t.co/Nq1E0wUa7e Let's win together! 🚀
56,80.5,🤝 Competitor Affiliate,angie__mantis,X,1355,packdraw,x-mention,,https://x.com/angie__mantis,"Painter | Tea drinker | Art (Mantis is in my name b/c it’s the style Kung Fu I’ve trained) , code| https://t.co/hLdkYrVYVe"
57,80.5,🤝 Competitor Affiliate,RuinersKick,X,1342,packdraw,x-mention,,https://x.com/RuinersKick,"LIVE EVERYDAY ➡️ https://t.co/0ZDRhW9adk | Code OEG 🚨 $45,000 IN LB'S https://t.co/jhA03EXD5A | DM For VIP + RANK Transfer 💵| Clips ➡️ @Ruin"
58,80.5,🤝 Competitor Affiliate,CodeXBT_Intern,X,878,packdraw,x-mention,,https://x.com/CodeXBT_Intern,Assistant to @CodeXBT. Sketch artist 🎨  Growing and finding my place on this space
59,80.5,🤝 Competitor Affiliate,gong_a93693,X,390,packdraw,x-mention,,https://x.com/gong_a93693,wsg  steam friend code ❤️‍🔥1550217732 ❤️‍🔥  dc  agong_15784
60,80.5,🤝 Competitor Affiliate,Tbeeezy11,X,323,packdraw,x-mention,,https://x.com/Tbeeezy11,use code tbeeezy11 on betbolt for greatness 😁  https://t.co/ipjmOFI8I7
61,80.5,🤝 Competitor Affiliate,ShennCS,X,132,packdraw,x-mention,,https://x.com/ShennCS,"Curious mind in a chaotic world. I decode films, music, science, and geopolitics- then rage-quit in games.  In my Unhinged Era!  ✍🏼📖  Apathe"
62,77.5,🎯 Competitor Promoter,hy_drox_,X,4702,packdraw,x-mention,,https://x.com/hy_drox_,Web3 • Data Analyst • MMBM • 🥷🦅🪖
63,77.5,🎯 Competitor Promoter,SouthnPurpleVeg,X,4611,packdraw,x-mention,,https://x.com/SouthnPurpleVeg,"Cat mom to Sgt Pepper, Saphir & Lilith (lovely trio). Horror Fan & Occasional Twitch Streamer. https://t.co/OvDYYEPOtM"
64,77.5,🎯 Competitor Promoter,0xGKz,X,4365,packdraw,x-mention,,https://x.com/0xGKz,Web3-Reply Guys-Support Community-Always Active #LoveWins
65,77.5,🎯 Competitor Promoter,hongmingoh,X,4091,packdraw,x-mention,,https://x.com/hongmingoh,PJSK EN Newbie ❤️Saki❤️ Anime lover and Gamer 🇲🇾 Pokemon Enjoyer  Kick username:ohming Im a guy anyway :P Purple Skin Enjoyer
66,77.5,🎯 Competitor Promoter,Blackkky,X,3911,packdraw,x-mention,,https://x.com/Blackkky,"Discord - Coldtooth_  Forex is my wife but I cheat on her with crypto, I hope she doesn't find out. I play football for fun, I watch anime/k"
67,77.5,🎯 Competitor Promoter,MikeEze18,X,3628,packdraw,x-mention,,https://x.com/MikeEze18,"Dream Big, Work Hard | Favorite Reply Guy ✍️ Here in trenches to make a future| 🎨Web3 Artist| I support Real Projects| | God is the Greatest"
68,77.5,🎯 Competitor Promoter,777Zmann,X,3542,packdraw,x-mention,,https://x.com/777Zmann,"LVL 100 Packdrawer $3,000 LB LIVE NOW! https://t.co/YFYfSI8Nk4  5% bonus @ https://t.co/iwNidwIMPn https://t.co/1bRytA1Myw OVER $130,000 GIV"
69,77.5,🎯 Competitor Promoter,Itsmeowluck,X,3339,packdraw,x-mention,,https://x.com/Itsmeowluck,Web3 enthusiast | TRENCHES WARRIOR | On-chain martyr 😈⛓️
70,77.5,🎯 Competitor Promoter,SlotAngelina,X,3337,packdraw,x-mention,,https://x.com/SlotAngelina,God First🙏  Casino Life 🎰✨  Cards • Dice • Slots ♠️🎲  Playing Smart 💯  Winning Quietly 💰  Blessed Always💚
71,77.5,🎯 Competitor Promoter,The_RealYoungG,X,3200,packdraw,x-mention,,https://x.com/The_RealYoungG,🐐 CS player  Esports fan   #GOBIG #navination #VforVictory #FaZeUP #VAMOUZ🐭   twitch: zFlosh kick/discord: realflosh
72,77.5,🎯 Competitor Promoter,JstNil,X,3161,packdraw,x-mention,,https://x.com/JstNil,Thank you for the gift of life. #Metawin ID: jstnil  #stake ID: jstnil  happiness is peaceful Alhamdulillahya Allah. https://t.co/YGtz8B21b3
73,77.5,🎯 Competitor Promoter,Dcalibless11X,X,3091,packdraw,x-mention,,https://x.com/Dcalibless11X,God first || Reply girl || NFT Lover || Web3 enthusiast||
74,77.5,🎯 Competitor Promoter,NayaOnChain,X,3082,packdraw,x-mention,,https://x.com/NayaOnChain,𝓦𝓮𝓫³ 𝓰𝓲𝓻𝓵𝔂 • 𝓓𝓻𝓮𝓪𝓶 • 𝓑𝓮𝓵𝓲𝓮𝓿𝓮 • 𝓦𝓲𝓷 ✨ 𝓤𝓼𝓲𝓷𝓰 ② 𝓓𝓮𝓿𝓲𝓭𝓮𝓼 ~ | #Bitfortune | #Slotcoffee | https://t.co/WfgctBvxPz
75,77.5,🎯 Competitor Promoter,cryptopipoy,X,2906,packdraw,x-mention,,https://x.com/cryptopipoy,"Crypto Enthusiast!! 🤘 Inhale the Good Shit, Exhale the Bull Shit..🤘"
76,77.5,🎯 Competitor Promoter,limedjeruk8,X,2801,packdraw,x-mention,,https://x.com/limedjeruk8,"Lucky in my way, no expectation just do it‼️Crypto Lover 🌟 Solana Family 🌟 Believer Financial Freedom in Crypto🌟"
77,77.5,🎯 Competitor Promoter,mickaelanic,X,2761,packdraw,x-mention,,https://x.com/mickaelanic,Delivery Hero by day . Full-time Bagworker CRYPTO & NFT project by night   HODL till we moon
78,77.5,🎯 Competitor Promoter,nelanontwtt,X,2734,packdraw,x-mention,,https://x.com/nelanontwtt,"God,  Web3 enthusiastic, Figuring my way around, connecting with Prosperous minds. fomo 🆔 Nelan"
79,77.5,🎯 Competitor Promoter,Wonda0xwins,X,2685,packdraw,x-mention,,https://x.com/Wonda0xwins,"Building in #Crypto #DeFi #Web3 | @Binance • @MEXC • @Bitget • Casino | Merawin.  Research, insights & alpha drops"
80,77.5,🎯 Competitor Promoter,siege4tw,X,2651,packdraw,x-mention,,https://x.com/siege4tw,"web3, reply guy, raider !!"
81,77.5,🎯 Competitor Promoter,elianzcrush,X,2630,packdraw,x-mention,,https://x.com/elianzcrush,we’re gonna make it • active • web3 • yapping
82,77.5,🎯 Competitor Promoter,nerxbt,X,2454,packdraw,x-mention,,https://x.com/nerxbt,Web3 | Crypto & airdrop vibes 🪂✨
83,77.5,🎯 Competitor Promoter,rbngambles,X,2337,packdraw,x-mention,,https://x.com/rbngambles,Dengerate Gambler Streaming Every Day on https://t.co/lBj6N8tn0C
84,77.5,🎯 Competitor Promoter,vaga30nd_,X,2255,packdraw,x-mention,,https://x.com/vaga30nd_,"messy buns & having funs • social media marketing for crypto project, web 3 since 2021👨🏼‍💻🤳🏼🤳🏼"
85,77.5,🎯 Competitor Promoter,KoyaFiyinfoluwa,X,2231,packdraw,x-mention,,https://x.com/KoyaFiyinfoluwa,♐️ Sag 🤴HALA MADRID!🤍 Web3! @miroweb3 INTERN! @slotcoffe @bitfortune reply guy❤️ IDGAF 🐼
86,77.5,🎯 Competitor Promoter,asamoah_09,X,2167,packdraw,x-mention,,https://x.com/asamoah_09,Time to leave the trenches. …….. MODERATOR/ COMMUNITY MANAGER @JoeyMoose precious mod on kick BARCELONA ❤️💙
87,77.5,🎯 Competitor Promoter,SaraahhXi,X,2155,packdraw,x-mention,,https://x.com/SaraahhXi,#Crypto #Nftcollector 🥀 #WAGMI @solanaidentity🐐
88,77.5,🎯 Competitor Promoter,Tobilobalucky,X,2150,packdraw,x-mention,,https://x.com/Tobilobalucky,Creative Photographer: Fineart & conceptual || Nft artist || Collab manager || Degen || Content writer|| @SpectrumSp_ Gamer
89,77.5,🎯 Competitor Promoter,TheMatBets,X,2134,packdraw,x-mention,,https://x.com/TheMatBets,Canadian Streamer 🤘🏌️ Owner of : https://t.co/3nfjlNBTcW https://t.co/bY1bZStmO2 https://t.co/l5ko4I6SqZ
90,77.5,🎯 Competitor Promoter,RaiseGambles,X,2048,packdraw,x-mention,Raisegambles@gmail.com,https://x.com/RaiseGambles,2000$ In Leaderboards https://t.co/w03GQZu45d  Streams on https://t.co/6jmw2UbwMb  for business inquiries: Raisegambles@gmail.com
91,77.5,🎯 Competitor Promoter,Wholashile,X,1943,packdraw,x-mention,,https://x.com/Wholashile,CM//#BTC Ordinal maxi // super bullish on #slotcoffee
92,77.5,🎯 Competitor Promoter,CadelAndri,X,1924,packdraw,x-mention,,https://x.com/CadelAndri,Never Give Up 💪. web3 dreamer 🌃
93,77.5,🎯 Competitor Promoter,gsb,X,1901,packdraw,x-mention,,https://x.com/gsb,Gambling degenerate - Catch me on @kick spinning slots and losing all of my hard earned money only on @StakeUSA
94,77.5,🎯 Competitor Promoter,BotNooah,X,1897,packdraw,x-mention,,https://x.com/BotNooah,#HotAirBalloonCase
95,77.5,🎯 Competitor Promoter,Fortwnty_,X,1887,packdraw,x-mention,,https://x.com/Fortwnty_,Web3 explorer | Crypto enthusiast | Early believer ⚡
96,77.5,🎯 Competitor Promoter,Willlyy11,X,1871,packdraw,x-mention,,https://x.com/Willlyy11,Here for the trenches. Active reply guy. Web3 Explorer. the list goes on......
97,77.5,🎯 Competitor Promoter,anthGGs,X,1839,packdraw,x-mention,,https://x.com/anthGGs,À Dieu seul la gloire | #DeFi | Jack of all Trade | GIF & Reply guy | $S | •ᴗ• | 祥 | best online casino 👇
98,77.5,🎯 Competitor Promoter,riumaxyz,X,1821,packdraw,x-mention,,https://x.com/riumaxyz,Web3 • Crypto Enthusiast • The Trenches 🪖
99,77.5,🎯 Competitor Promoter,HaxerUwU,X,1794,packdraw,x-mention,,https://x.com/HaxerUwU,I stream sometimes https://t.co/VJ4ko8gojw 🫱🏻‍🫲🏼  You are the writer of your own story. Make sure to write a good one.
100,77.5,🎯 Competitor Promoter,the_beloved1_,X,1783,packdraw,x-mention,,https://x.com/the_beloved1_,"Reply guy , Critical thinker ■ Crypto Enthusiast 📈  Learning the markets ■ loyal fan of man utd"
101,77.5,🎯 Competitor Promoter,Uche_nax,X,1705,packdraw,x-mention,,https://x.com/Uche_nax,Crypto 🪙| web3 | airdrop hunter👨‍🚀| prep trader | degen 🔥🔥| Ambassador of @Taunt_bet🦡| @pp_privatejet my goat 🐐
102,77.5,🎯 Competitor Promoter,Adil_27,X,1590,packdraw,x-mention,,https://x.com/Adil_27,Crypto 💸❤️ Software Engineer|Programmer| Gamer
103,77.5,🎯 Competitor Promoter,stupendous_side,X,1557,packdraw,x-mention,,https://x.com/stupendous_side,Degen • Web3 Enthusiast • Building Connections & Leveling Up🚀🔥 •
104,77.5,🎯 Competitor Promoter,yuteiko,X,1544,packdraw,x-mention,,https://x.com/yuteiko,"web3 enthusiast ⋆˙⟡ right place, right time ✝️ ˙⟡ 🐻"
105,77.5,🎯 Competitor Promoter,snipe_rga,X,1529,packdraw,x-mention,,https://x.com/snipe_rga,Web3 strategist• memecoin risk enjoyer• Replying my way to the top  | Early→Loud→Right | Alpha→Hype
106,77.5,🎯 Competitor Promoter,Chicosci191,X,1485,packdraw,x-mention,,https://x.com/Chicosci191,DegenGneer / NFTs / Crypto 🔥 🐶💜🐱👅🍎🍌
107,77.5,🎯 Competitor Promoter,iniDeevaa,X,1476,packdraw,x-mention,,https://x.com/iniDeevaa,"Web3 | Crypto | DeFi Always learning, always on-chain. 📍"
108,77.5,🎯 Competitor Promoter,biggest_joe001,X,1454,packdraw,x-mention,,https://x.com/biggest_joe001,"Degen Trader || Community Manager || Raider || $BOME  I'm not the best, but I'll keep trying my best👌"
109,77.5,🎯 Competitor Promoter,PTrembalarp,X,1396,packdraw,x-mention,,https://x.com/PTrembalarp,Moderator of @PikaGambles
110,77.5,🎯 Competitor Promoter,byaislin,X,1285,packdraw,x-mention,,https://x.com/byaislin,everything in time🍃// web3 girlie🧚// into crypto✨
111,77.5,🎯 Competitor Promoter,BlessedPanalo,X,1241,packdraw,x-mention,,https://x.com/BlessedPanalo,I am a money magnet 🧲💲💰 @Metawin @Stake @GamDom 🇵🇭 #BlessedBlessings
112,77.5,🎯 Competitor Promoter,metadegen07,X,1238,packdraw,x-mention,,https://x.com/metadegen07,Never give up 💙 Anime • Crypto • CS2 Trying to make the world a better place :)
113,77.5,🎯 Competitor Promoter,ROBINHOOD032786,X,1237,packdraw,x-mention,,https://x.com/ROBINHOOD032786,"I spend time exploring new projects, testing products and engaging with communities before they become mainstream. I believe being early is "
114,77.5,🎯 Competitor Promoter,AliaxxVesper,X,1189,packdraw,x-mention,,https://x.com/AliaxxVesper,"💎🖐️ Simple Web3 enjoyer | family life, pets & good vibes only | Let's connect!"
115,77.5,🎯 Competitor Promoter,vitameii,X,1176,packdraw,x-mention,,https://x.com/vitameii,WEB3 | CASINO | living for the hope of it allᯓᡣ𐭩 💻📱
116,77.5,🎯 Competitor Promoter,radiationworker,X,1176,packdraw,x-mention,,https://x.com/radiationworker,Radiographer at Sikkim Manipal University. Grinding everyday  Cryptos and finance  interests me  https://t.co/muX4nz2bLD
117,77.5,🎯 Competitor Promoter,Nobrainer_xx,X,1096,packdraw,x-mention,,https://x.com/Nobrainer_xx,From zero to on-chain  Crypto • NFTs • DeFi Chasing financial freedom since  2'18  #BTC $BNB $ETH
118,77.5,🎯 Competitor Promoter,itrue98,X,1076,packdraw,x-mention,,https://x.com/itrue98,"Streamer, Mechanic, & Nature/Tech enthusiast. 🦅"
119,77.5,🎯 Competitor Promoter,AryossLr1,X,1015,packdraw,x-mention,,https://x.com/AryossLr1,"Aryos  From Algiers  | Living in Istanbul  | Love tech, crypto & meeting real people #BTC #SOL liverpool fan"
120,77.5,🎯 Competitor Promoter,honey_bee_me_,X,1012,packdraw,x-mention,,https://x.com/honey_bee_me_,I sing 💕  I tweet🌠 Crypto🌟 Winning reply arc🌠Web3❤
121,77.5,🎯 Competitor Promoter,BuldogonX,X,1005,packdraw,x-mention,,https://x.com/BuldogonX,Degen l Crypto l Gamble
122,77.5,🎯 Competitor Promoter,karmkarteja2,X,1002,packdraw,x-mention,,https://x.com/karmkarteja2,"It's a Backup Account of @karmkarteja531  Username for (Kick, Discord, Twitch, Telegram, Instagram and  Facebook) - karmkarteja531"
123,77.5,🎯 Competitor Promoter,JoyfulWeb3,X,987,packdraw,x-mention,,https://x.com/JoyfulWeb3,Corporate Slave | #Web3 Explorer | Trader in progress | Building Financial Freedom | RTs and Posts are not financial advise #DYOR
124,77.5,🎯 Competitor Promoter,bbbshineee,X,985,packdraw,x-mention,,https://x.com/bbbshineee,Don't gamble what you can't afford to lose  WEB3 | Stream Enjoyer | Ape gang 🦍
125,77.5,🎯 Competitor Promoter,solXwin,X,984,packdraw,x-mention,,https://x.com/solXwin,Crypto & Web3 Enthusiast 👨‍💻 | Basketball Player 🏀
